PACKAGE_DECLARATIONS,IMPORT_STATEMENTS,CLASS_DECLARATIONS,PUBLIC_TYPE_DECLARATIONS,ANNOTATIONS,FIELD_DECLARATIONS,METHOD_INVOCATIONS,LITERALS,CONSTRUCTOR_DECLARATIONS,STATEMENTS,EXPRESSION_STATEMENTS,METHOD_DECLARATIONS,PUBLIC_METHOD_DECLARATIONS,VARIABLE_DECLARATIONS,STOCK_VARIABLES,IS_WEAK,IF_STATEMENTS,BLOCK_STATEMENTS,LOG_VARIABLES,PERSON_VARIABLES,PRESSRELEASE_VARIABLES,INTERFACES_IMPLEMENTED,INTERFACE_DECLARATIONS,SUBTYPE_DECLARATIONS,STRINGBUILDER_VARIABLES,ADDRESS_VARIABLES,FOR_STATEMENTS,BREAK_STATEMENTS
1,12,1,1,5,4,4,6,1,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,1,1,13,6,11,15,2,12,6,5,5,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,13,1,1,8,4,11,12,1,12,6,4,4,3,0,0,1,1,0,0,3,0,0,0,0,0,0,0
1,5,1,1,5,1,3,0,1,4,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,1,1,6,1,4,0,1,5,2,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,1,1,5,1,3,0,1,4,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,3,1,1,2,7,12,15,0,21,14,13,13,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,8,1,1,4,5,15,17,0,30,13,10,10,2,0,1,3,5,0,0,0,0,0,1,1,1,2,1
1,6,1,1,2,4,0,6,0,7,3,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,8,1,1,2,3,3,4,0,7,4,5,5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
